Articulação metálica para janela [ferragem],6;
Artigo antitártaro para uso animal, exceto medicamento,3;
Artigo para iluminação não elétrico,4;
Artigo para instalação hidráulica,19;
Árvores de natal eletrônicas e decorativas,28;
Asbesto [vedação],17;
Asbesto em bruto,17;
Aspargo [produto fresco],31;
Aspirador de pó elétrico, portátil ou não,7;
Aspirador e limpador de roupa portátil movido à pilha,21;
Aspirador industrial,7;
Assador comercial e industrial,11;
Assento de avião com função de massagear,12;
Assento para enfermo,10;
Atiradeira [estilingue],28;
Ativador hormonal,5;
Atrativo de peste [pesticida],5;
Auscultador [estetoscópio],10;
Automático de nível [sinalização],9;
Ave em conserva,29;
Aveia em grão,31;
Aveia integral em pó,30;
Aventais de uso médico, descartáveis ou não,10;
Avental para cirurgiões,10;
Avental para pacientes,10;
Avental para profissionais de saúde,10;
Avental plúmbico para exames radiológicos,10;
Avião de brinquedo,28;
Azeite de dendê,29;
Azoto [nitrogênio],1;
Azul da Prússia [tinta],2;
Azul ultramar [tinta],2;
Azulejo de aço inoxidável,6;
Babador não descartável,25;
Baby-doll,25;
Bacalhau,29;
Bactéria acetificadora,1;
Bactéria para saneamento básico e eliminação de poluição d'água,1;
Bactericida,5;
"Bacuri [fruto grande e carnoso; bacurizeiro, ibacurupari -produto in natura],31";
Bafômetro,9;
Bala comestível,30;
Balaio,20;
Balanço russo,28;
"Balangandã [ornamento ou amuleto, ordinariamente de metal, em forma de figa,medalha, pendente de broche, argola ou pulseira],14";
Balão [objeto para festa],28;
Balcão [móvel],20;
Balcão [varanda ou sacada],19;
Balcão frigorífico de uso doméstico,11;
Balcão frigorífico de uso industrial,11;
Balde para bebida,21;
Baliza para esporte,28;
Bálsamo e óleo descongestionante nasal e bronquial para uso externo,5;
Bálsamo e óleo para alívio da dor e coceira para uso externo,5;
Banana processada,29;
Bananada,29;
Banca de jornal metálica,6;
Banca de jornal não metálica,19;
Banco de cimento ou concreto,19;
Banco para veículo,12;
Bandagem elástica [vestuário],25;
Bandagem elástica de uso terapêutico,10;
Bandagem funcional,10;
Bandeja para tinta,16;
Banheiro público [cabine],19;
Banho químico para fixação fonográfica,1;
Banho químico para fundição de metal,1;
Banho-seco,9;
Banjo,15;
Banqueta [móvel],20;
Baralho para cartomancia,16;
Baralho para tarô,16;
Baraticida,5;
Barbatana de tubarão, não trabalhada ou semitrabalhada,20;
